date,time,district,lat,lon,civ.race,civ.gender,civ.age,civ.injured,force_id,officer_id,month,civilian_race_short,hour
2012-08-11,2012-08-11T03:32:00Z,10,41.86298,-87.704544,BLACK,MALE,32,0,47042,275,2012-08-01,civilian_black,3
2013-02-20,2013-02-20T15:48:00Z,10,41.839985,-87.72809,HISPANIC,MALE,31,0,49854,275,2013-02-01,civilian_hisp,15
2014-01-04,2014-01-04T18:03:00Z,10,41.861572,-87.725044,WHITE,MALE,30,1,54775,275,2014-01-01,civilian_white,18
2014-01-08,2014-01-08T21:15:00Z,10,41.837906,-87.732895,WHITE,MALE,53,0,54806,275,2014-01-01,civilian_white,21
2014-02-08,2014-02-08T10:01:00Z,10,41.86443,-87.71902,BLACK,MALE,45,0,55139,275,2014-02-01,civilian_black,10
2013-02-17,2013-02-17T18:35:00Z,10,41.85157,-87.68564,BLACK,MALE,49,1,49805,279,2013-02-01,civilian_black,18
2015-09-06,2015-09-06T19:36:00Z,4,41.732883,-87.544365,BLACK,FEMALE,35,1,64151,280,2015-09-01,civilian_black,19
2015-09-12,2015-09-12T18:35:00Z,4,NA,NA,BLACK,FEMALE,23,0,64240,280,2015-09-01,civilian_black,18
2012-06-22,2012-06-22T19:31:00Z,8,41.81171,-87.74817,BLACK,MALE,20,1,46118,281,2012-06-01,civilian_black,19
2014-06-20,2014-06-20T17:47:00Z,8,41.749928,-87.71619,WHITE,MALE,21,1,57293,281,2014-06-01,civilian_white,17
2012-03-28,2012-03-28T04:30:00Z,9,41.812183,-87.67206,HISPANIC,MALE,27,0,44624,283,2012-03-01,civilian_hisp,4
2012-04-07,2012-04-07T23:51:00Z,5,41.65631,-87.61729,BLACK,MALE,42,1,44790,283,2012-04-01,civilian_black,23
2012-11-04,2012-11-04T00:18:00Z,9,41.798256,-87.69271,HISPANIC,MALE,23,1,48337,283,2012-11-01,civilian_hisp,0
2012-12-29,2012-12-29T00:45:00Z,9,41.80798,-87.6443,BLACK,FEMALE,33,0,49101,283,2012-12-01,civilian_black,0
2013-01-09,2013-01-09T18:08:00Z,9,NA,NA,BLACK,MALE,21,0,49254,283,2013-01-01,civilian_black,18
2014-10-29,2014-10-29T23:57:00Z,9,NA,NA,BLACK,FEMALE,36,0,59552,283,2014-10-01,civilian_black,23
